requested_time,route,direction,stop_name,eta,delayed
1454348673,Blue,5,Damen,14.5 to 19.0,0
1454348737,Blue,5,Damen,1.0,0
1454418036,Blue,5,Damen,14.5 to 19.0,0
1454418457,Blue,5,Damen,5.5 to 10.0,0
1454418931,Blue,5,Damen,14.5 to 19.0,0
1454419111,Blue,5,Damen,19.0,0
1454419090,Blue,5,Damen,1.0 to 5.5,0
1454419294,Blue,5,Damen,5.5 to 10.0,0
1454419800,Blue,5,Damen,14.5 to 19.0,0
1454420015,Blue,5,Damen,19.0,0
1454419915,Blue,5,Damen,1.0 to 5.5,0
1454420278,Blue,5,Damen,5.5 to 10.0,0
1454420577,Blue,5,Damen,10.0 to 14.5,0
1454420877,Blue,5,Damen,19.0,0
1454420994,Blue,5,Damen,1.0 to 5.5,0
1454421114,Blue,5,Damen,5.5 to 10.0,0
1454421268,Blue,5,Damen,10.0,0
1454421616,Blue,5,Damen,1.0,0
1454421805,Blue,5,Damen,1.0 to 5.5,0
1454422169,Blue,5,Damen,10.0,0
1454422359,Blue,5,Damen,10.0 to 14.5,0
1454422528,Blue,5,Damen,1.0,0
1454422658,Blue,5,Damen,1.0 to 5.5,0
1454422775,Blue,5,Damen,1.0 to 5.5,0
1454423194,Blue,5,Damen,10.0 to 14.5,0
1454423558,Blue,5,Damen,1.0 to 5.5,0
1454423736,Blue,5,Damen,5.5 to 10.0,0
1454423974,Blue,5,Damen,10.0,0
1454424156,Blue,5,Damen,10.0 to 14.5,0
1454424338,Blue,5,Damen,14.5 to 19.0,0
1454424481,Blue,5,Damen,1.0 to 5.5,0
1454424680,Blue,5,Damen,5.5 to 10.0,0
1454425052,Blue,5,Damen,10.0 to 14.5,0
1454425237,Blue,5,Damen,14.5 to 19.0,0
1454425408,Blue,5,Damen,1.0 to 5.5,0
1454425538,Blue,5,Damen,5.5 to 10.0,0
1454425836,Blue,5,Damen,10.0 to 14.5,0
1454426196,Blue,5,Damen,14.5 to 19.0,0
1454426317,Blue,5,Damen,1.0 to 5.5,0
1454426725,Blue,5,Damen,10.0 to 14.5,0
1454427185,Blue,5,Damen,19.0,0
1454427271,Blue,5,Damen,1.0 to 5.5,0
1454427605,Blue,5,Damen,10.0 to 14.5,0
1454428255,Blue,5,Damen,5.5 to 10.0,0
1454428677,Blue,5,Damen,10.0 to 14.5,0
1454429251,Blue,5,Damen,5.5 to 10.0,0
1454429674,Blue,5,Damen,14.5 to 19.0,0
1454430330,Blue,5,Damen,10.0 to 14.5,0
1454430757,Blue,5,Damen,14.5 to 19.0,0
