utc_timestamp,date_string,prediction,california_train,weather,feels_like,tweet,amen_train,uber_surging,uber_eta,72_bus,52_bus
1454084102,2016-01-29 10:15,3,10.0 to 13.0,Partly Cloudy,18.0 to 22.8333333333,0,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,6.0 to 11.0,11.0 to 16.0
1454085003,2016-01-29 10:30,2,13.0 to 16.0,Partly Cloudy,32.5 to 37.3333333333,0,9.33333333333 to 13.5,1.0 to 1.15,6.5 to 8.0,1.0 to 6.0,21.0 to 26.0
1454085904,2016-01-29 10:45,2,10.0 to 13.0,Partly Cloudy,32.5 to 37.3333333333,0,17.6666666667 to 21.8333333333,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,6.0 to 11.0
1454086801,2016-01-29 11:00,2,16.0 to 19.0,Partly Cloudy,32.5 to 37.3333333333,0,9.33333333333 to 13.5,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,21.0 to 26.0
1454087702,2016-01-29 11:15,2,13.0 to 16.0,Partly Cloudy,32.5 to 37.3333333333,0,1.0 to 5.16666666667,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,16.0 to 21.0
1454088603,2016-01-29 11:30,1,10.0 to 13.0,Partly Cloudy,32.5 to 37.3333333333,0,1.0 to 5.16666666667,1.0 to 1.15,3.5 to 5.0,6.0 to 11.0,6.0 to 11.0
1454089504,2016-01-29 11:45,3,16.0 to 19.0,Partly Cloudy,32.5 to 37.3333333333,0,9.33333333333 to 13.5,1.0 to 1.15,3.5 to 5.0,11.0 to 16.0,11.0 to 16.0
1454158801,2016-01-30 07:00,2,10.0 to 13.0,Mostly Cloudy,32.5 to 37.3333333333,0,17.6666666667 to 21.8333333333,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,21.0 to 26.0
1454159702,2016-01-30 07:15,2,1.0 to 4.0,Mostly Cloudy,32.5 to 37.3333333333,0,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,11.0 to 16.0,6.0 to 11.0
1454160603,2016-01-30 07:30,3,1.0 to 4.0,Mostly Cloudy,32.5 to 37.3333333333,1,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,16.0 to 21.0,26.0 to 31.0
1454161504,2016-01-30 07:45,3,1.0 to 4.0,Mostly Cloudy,32.5 to 37.3333333333,1,1.0 to 5.16666666667,1.0 to 1.15,3.5 to 5.0,11.0 to 16.0,16.0 to 21.0
1454162401,2016-01-30 08:00,3,1.0 to 4.0,Mostly Cloudy,32.5 to 37.3333333333,1,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,26.0 to 31.0,21.0 to 26.0
1454163302,2016-01-30 08:15,2,10.0 to 13.0,Mostly Cloudy,32.5 to 37.3333333333,1,17.6666666667 to 21.8333333333,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,11.0 to 16.0
1454164203,2016-01-30 08:30,2,16.0 to 19.0,Mostly Cloudy,32.5 to 37.3333333333,1,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,11.0 to 16.0
1454165104,2016-01-30 08:45,3,13.0 to 16.0,Mostly Cloudy,32.5 to 37.3333333333,1,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,11.0 to 16.0,16.0 to 21.0
1454166001,2016-01-30 09:00,2,1.0 to 4.0,Mostly Cloudy,32.5 to 37.3333333333,1,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,6.0 to 11.0,21.0 to 26.0
1454166902,2016-01-30 09:15,2,13.0 to 16.0,Mostly Cloudy,32.5 to 37.3333333333,1,9.33333333333 to 13.5,1.75 to 1.9,3.5 to 5.0,6.0 to 11.0,21.0 to 26.0
1454167803,2016-01-30 09:30,2,1.0 to 4.0,Mostly Cloudy,32.5 to 37.3333333333,1,17.6666666667 to 21.8333333333,1.0 to 1.15,3.5 to 5.0,1.0 to 6.0,6.0 to 11.0
1454168704,2016-01-30 09:45,1,16.0 to 19.0,Mostly Cloudy,32.5 to 37.3333333333,1,13.5 to 17.6666666667,1.0 to 1.15,3.5 to 5.0,16.0 to 21.0,6.0 to 11.0
1454169601,2016-01-30 10:00,3,16.0 to 19.0,Mostly Cloudy,32.5 to 37.3333333333,1,13.5 to 17.6666666667,1.0 to 1.15,2.0 to 3.5,11.0 to 16.0,11.0 to 16.0
1454170502,2016-01-30 10:15,1,1.0 to 4.0,Mostly Cloudy,32.5 to 37.3333333333,1,9.33333333333 to 13.5,1.0 to 1.15,2.0 to 3.5,1.0 to 6.0,1.0 to 6.0
